1	vLdfKriwhLUMSeLEHKAt	Non-empty Intersection	probability	7	JaneStreet|JumpTrading	FREE
607	2ggSpbMrpB3GMowY0u3r	Origin In Between	probability	1	Optiver	PAID
608	vuVRTki9n0QwGUuOeejj	Increasing Dice Rolls I	probability	4	IMCTrading	PAID
609	Xdkyp7suh2M00hfONjGx	Tenth Toss	probability	7	Graviton	PAID
610	uxHJRxkpkP2L3vANPJ55	Three In A Line	brainteasers	6		PAID
611	RuEN6N6h4h8BBinKhFed	Matching Cards Removal	probability	6	SusquehannaInternationalGroup	PAID
612	4FdzKqTja5PR3SPjHQ1g	Blue Marble Remaining	probability	6		PAID
613	U70memuL7PgKXowM1HPi	Capture The Flag I	probability	7	IMCTrading	PAID
614	ennNqYHjoDNBhp26vmiT	Minimum Correlation	probability	4		PAID
615	0Maku0UgN5WfAqAswP2o	Complex Circle	probability	4		PAID
616	4WK8IHxioESuNCpNusXj	Higher Sum	probability	2	FiveRings	PAID
617	0wgLax8u7KE6uoXcj1YS	5 Points On A Sphere	probability	10		PAID
618	CJ1rU2aKvEZBEa18V6ZR	Count Sequences II	combinatorics	4		PAID
619	tIio1iMyuUXh4Nh5ZziT	Remove Or Flip	brainteasers	5	Graviton	PAID
620	KvwkDuvoamBs8PCTY5sd	Unit Digit Probability I	probability	1		PAID
621	7sObIs3acx0kR7156NRr	Interview III	probability	9		PAID
622	mCtZEdfqMqt9LHgu7Dt8	Expected Value	probability	9		PAID
623	ouQou5BjdeV9hMb5cW0v	Forming Quadratic Polynomial I	probability	8		PAID
624	un5H56E04q9eu9qCNhWc	Rope Variance	probability	4	FiveRings	PAID
625	OtSXzZkY1wyiJnyz6xBx	Triangular Grid	probability	6		PAID
626	CapqEFzaiUcfUWwAmpOq	Strange Comparison I	brainteasers	4		PAID
627	GL4uXdATuW3fmFG82Nmn	Mathematical Expression II	probability	5		PAID
628	neqXhARpxKWz7ZIgPpZx	Boy-girl Adjacent Pairs	probability	4		PAID
629	JLvEL56eKwDoY8A0YifD	Optimal Bid	probability	4		PAID
630	E02wfjr1spuw6dH3RvH3	3 Consecutive Heads I	probability	2		PAID
631	x5rxjAMpSNALaagTTYlJ	Two Rolls Reward	probability	3		PAID
632	vlCXq0UP7lmii5KFkf09	Broken Elevator	probability	10		PAID
633	wMjlVxlp9Rt9HLlDlbh8	3 Lights	probability	5		PAID
634	FxUXmILhJKZ8wBKZHoan	Dice Game II	probability	4	AkunaCapital|Citadel|DRW|HudsonRiverTrading|Optiver	PAID
635	NqZBZIhxYiocplec80W2	Checks	probability	5		PAID
636	H6ZmdGlnlBC7u9fU06Es	Arrange Teams	brainteasers	5	SusquehannaInternationalGroup	PAID
637	82V3Rc58nP6YpsGzt1no	Interview IV	probability	9	Citadel	PAID
638	fp56HhZCO039QGqkWeaw	Coin And Die Together	probability	2		PAID
639	hiqWJlI3Xkl2MFiKzCyj	Finding Seven	probability	7		PAID
640	lRNHEPACJ1zr05xgJl9z	Choose Values III	probability	5		PAID
641	bzay26iqLwmdbEVb8uky	Cherries	probability	4		PAID
642	IaJvZZIAcTQA8BgXdLMs	Even Tails Run	probability	6		PAID
643	qMuGBYwmIRYVte8FMLvX	Same Birthday Probability	probability	4		PAID
644	W22HWWZTxmOufbM9pjsK	Matrix Attack I	probability	4		PAID
645	gWFI90ainCRcXopw34Sg	Count Of Rational Numbers	combinatorics	3		PAID
646	brzXsTEMKTEWNu6hibpo	Shooting Arrows I	probability	1	Citadel|DRW	PAID
647	DcE5vWZwq2I9Bq307ES9	Card Picking I	probability	4		PAID
648	Ytj0yLedicROPnW4H4b1	Game On 753 Coins	brainteasers	4		PAID
649	sQgP3MxLFaHzXSUyvWY1	Triangle Inside Circle III	probability	7		PAID
650	Uc1b4eXUkamDyAtbhVXi	Coin Toss Game VI	probability	3		PAID
651	znhinju1TYNIs5oMot3z	Count Paths I	combinatorics	3		PAID
652	NkRSkUgInqC0oHX6ZUut	Game On Divisors II	brainteasers	9	SusquehannaInternationalGroup	PAID
653	3xaoKYord597QomK98Ip	Polygon Triangle	probability	6		PAID
654	si4rQM2fceUirlsvT0kC	Ants On A Wire	brainteasers	3		PAID
655	Bu4JnQ7nv5Ks615qPLiK	Clock Angle	brainteasers	1	AkunaCapital|DRW	PAID
656	jAkcAlGDR47txWZJlQ0t	Weighted Coins	probability	7		PAID
657	bQvxqu82bprC9cXOlA5h	5000 Sets	combinatorics	6		PAID
658	Qk1uuOmVJ45ViXBOSIW0	Three Steps	probability	8		PAID
659	h8yIj3CM9QqNo9LbikAA	Just Even Stop	probability	4		PAID
660	gtLJfRABlB8Q9ISovIOz	Shooting Stacks	combinatorics	3	Optiver	PAID
661	L2nw3JMLY5XmI2mek6Fv	Segments Inside Square I	probability	7		PAID
662	sggqBoRZ1U4NzEO7Epsd	Dice Game VI	probability	5	Optiver	PAID
663	o8NirwLCDxO1eT2bgqJo	Fibonnaci Error	brainteasers	5		PAID
664	fkTMYKu7BtGHsTfqV7FU	Digit Sum IV	brainteasers	3		PAID
665	J5lXKOdTZCrPpzWqVjab	Expected Swaps	probability	10	TwoSigma	PAID
666	iDNinkojGFpvr1jw3IK8	Interesting Average I	probability	6		PAID
667	xmfStoNxwDcwFfPSVXNb	Changing Number	brainteasers	7	JaneStreet	PAID
668	QTG90L05f372ofSiObQ6	Acute Triangle I	probability	8	JaneStreet|SusquehannaInternationalGroup	PAID
669	TAuCa825LCqPorhLixsx	Segment Intersection	brainteasers	4		PAID
670	pAYw8bRHif0N3JPzeGG7	Powerful Three	brainteasers	5		PAID
671	Q6cWw9TXk16HphBJzIpJ	Socks Remaining II	probability	8	JaneStreet	PAID
672	XU0WaJOgeMjNr3Xm6Cdm	Tetrahedron Coloring I	combinatorics	2		PAID
673	hBxZgycJOHj6ns9GUYk6	Domino Tiling I	combinatorics	4		PAID
674	oiiwuBZJsKydVWxLC6nf	Domino Tiling II	combinatorics	8		PAID
675	0kCIRF5IDxAAacO30Gc2	Largest Mean Median Difference	brainteasers	2		PAID
676	PglSMgUgfOarIpJ7s1ug	New Language	combinatorics	1		PAID
677	ATkAIHEpXSks5Xmuw1km	Constrained Subsets III	combinatorics	4		PAID
678	LzPB00a6mAvR88DzO8o6	Count Rectangles II	combinatorics	4		PAID
679	HdcAezDhMsCcVraE9cHF	Tricky Palindrome I	combinatorics	2		PAID
680	9am1jETB598UxYQIKHEH	Tricky Palindrome II	combinatorics	4		PAID
681	4Jdkv092AzlL5A8zz7YB	Tricky Palindrome III	combinatorics	7		PAID
682	EbHAZoBJeTQU6pMP6uyd	Skipping 2s	combinatorics	6	Citadel	PAID
683	6joR5Wcn9kGDglFryh8q	Arrow On Dice	combinatorics	5		PAID
684	7bFvAMHOzr9GbjcOIsR7	Grid Arrangement III	combinatorics	6		PAID
685	c1NOSrWOwloFEYtMzP4w	Tetrahedron Coloring II	combinatorics	3		PAID
686	9wvCGYdrOC3v2hNzwypM	Logarithm Comparison	brainteasers	4	HudsonRiverTrading	PAID
687	woG8WKS2qRE1zeGIuIj0	Circular Frog I	probability	7	Citadel|JumpTrading	PAID
688	TbPgOsMCeeNKmZwXyFSi	Square Factor	probability	3		PAID
689	Sy12VhNues4KYQ2o49Kv	Sum Sum Sum	brainteasers	7	Citadel	PAID
690	ZILGV2KNQBbKxefVPuQs	Constrained Combinatorics	combinatorics	4		PAID
691	5CvzEVDBOZx0IgHoY39T	Evenbin I	brainteasers	4		PAID
692	I6UtzL28q0rC5ah7prf4	Prime Set	brainteasers	3		PAID
693	VU8MEpz8etQkPgpGW9AK	Catch Me If You Can I	brainteasers	4		PAID
694	iXL79Ai0ho3v9qYi8Khh	Catch Me If You Can II	brainteasers	8		PAID
695	ybyTbxZ1Bp829O6tqWPC	Game On Divisors IV	brainteasers	7		PAID
696	ADv3P5ufIeUUS4XjfZiP	Evenbin II	brainteasers	4		PAID
697	qgD0r1lL3Ih6i7hwUxxF	Hexagon Inside Hexagon	probability	5	Citadel	PAID
698	lKwC7dI7lXJZUXMo1kDu	Subset Chain	combinatorics	4		PAID
699	lrPNFHMMaonH3S95nRRG	Triangle Tiling	combinatorics	5		PAID
700	QfsycCM7FqyMdpdyIs9A	Constrained Subsets IV	brainteasers	4		PAID
701	ZbvNW9DHjuiPyBGOhCcm	Rook Moves	probability	5		PAID
702	0olGe8XNbWK42XHsSn7P	Real Addition I	brainteasers	3		PAID
703	6BjWuf4uTu8Ekc3TlF68	Real Addition II	brainteasers	3		PAID
704	Lweq2xcTsHfzNung36BN	Strange Comparison II	brainteasers	4		PAID
705	wwKLuZYqXq0bDMaX3SFm	GCD Expectation	probability	5	JumpTrading	PAID
706	i0krz9MFVmPwdpuM9v2h	Expected Good Points	probability	6		PAID
707	y0sn5MGwYb05NaRhsHNF	Count Triangular Regions I	combinatorics	3		PAID
708	udYDLNI8Xn80U9zHLx73	Count Triangular Regions II	combinatorics	4		PAID
709	L3w3obGIcq1VlaBxrnWL	Repeated Erase	probability	9		PAID
710	o7WVB6NK3pEutpAIL3B8	Everything Odd	probability	5		PAID
711	5FewUueaTdeRdeXbU4Yb	Expectation Lower Bound	probability	5		PAID
712	wWk6n3dUejYbGXwceK0l	Expected Stock Price	probability	3	Citadel	PAID
713	T8RjsGgy0FHFWmrWHJeA	Even Lattice Points	probability	5		PAID
714	OlRlTFiNm7C8bZ5JV90C	Polygon Constraints	brainteasers	4		PAID
715	JzdS3GlNdFYZid5kspi1	Divisible Permutation	combinatorics	5		PAID
716	PU9bQb3Nkb2ZyyzVUHE7	Lottery 	probability	4		PAID
717	spYLvAKLuasNOMe6Voib	Central Cities	combinatorics	3		PAID
718	56llCxyXhSvOUuyZNQcP	Expected Wait Time III	probability	4		PAID
719	u568e6cXUjJA7ii6jAhy	Expected Wait Time IV	probability	5		PAID
720	grSSrf0QgDhFOxcOoYXS	Expected Occupied Seats	probability	6		PAID
721	n3hnSmNo9rrTmgsSBKrm	N-Palindrome	brainteasers	3		PAID
722	hVaSDtCMyvlWqhjWWmjX	Maximum Fraction Sum	brainteasers	3		PAID
723	CjlNUV4NZSlBKwyALWto	Circular Seating	probability	4		PAID
724	IzhvQMWhiWwFJfJ7A4tA	2, 4 and 6	brainteasers	6		PAID
725	l5mqpwnM2NiRmHu5XuTw	Half Permutation	probability	4		PAID
726	EEU7Dq7qCgIch96TicaB	Proportional Coordinates	probability	5		PAID
727	ohNDySRl9ulqbCzNZgmG	Grid Frog II	combinatorics	8	Citadel	PAID
728	vOQ1x2f47gs3dBfC85k9	Max Min Ratio	probability	5		PAID
729	xDvHI44Vv4aUcne5BpUW	Increasing Random Variables	probability	6	JaneStreet	PAID
730	qDDdKs1KvQSx530WoL4A	Largest In Smallest	probability	4		PAID
731	NMjwsJCXQwV3IuOFbkCO	Alice Rolled The 6	probability	4		PAID
732	z7lQkKPt5PGKWWiazGJ6	Given LCM	combinatorics	3		PAID
733	6wr0a8xS6jMVvqIRXsiM	Conditional Normal I	probability	3		PAID
734	etWrjXn4V4WpVJTjkgd5	Conditional Normal II	probability	4		PAID
735	h8VDVRmeZcdQPRd1QdjI	Conditional Normal III	probability	4		PAID
736	NFDnBemeH9IvhyTI8uvm	Triangle Formation III	probability	5		PAID
737	geFBkxbVJaPRCuzt3HED	Same Part	probability	5		PAID
738	vZFqPa96P119NQjkWGz5	Elevator I	probability	3		PAID
739	t33ZYL0Qrp590MmqYiQk	Unfair Advantage	probability	7		PAID
740	XOpohBRkBThJrjt90OaL	Monotonic Subsequences	combinatorics	3		PAID
741	nwezk9PzcgPa191uvZZG	Possible Cover	brainteasers	5		PAID
742	NTUQybXcAbcbt7CZp7d9	Alternating Sum Sum	brainteasers	8		PAID
743	oW197fonzMF9Nzbyt816	3 Eggs	brainteasers	7	Optiver|JaneStreet	PAID
744	1z6T1NAEHscKjNHTGoF5	Expected Minimum	probability	4		PAID
745	4gosBLLlmK7jM7uavq0B	Grid Arrangement IV	probability	4	Citadel|JaneStreet|Graviton	PAID
746	yu3jJgcZKIyIoIFWph6I	Subset Length Sum	combinatorics	7		PAID
747	zAn98ybLA1UBUI5m6S8G	Extended Rock-Paper-Scissors	probability	6		PAID
748	Y7BSOqtN1HiYsObd6Hv2	King Before Ace	probability	8	Citadel	PAID
749	70RuLZsYYYIcMeplhw4k	To Infinity And Beyond II	probability	5	JumpTrading	PAID
750	1egI8CPMWiR4M6tAEKBN	Everything Contained	probability	5		PAID
751	bjr7xkxNsfcA4gp3We1I	Disjoint Arcs	probability	5	Citadel	PAID
752	rCSNBtlba5AEKEPElWDw	Maximize RPS Wins	brainteasers	4	Citadel	PAID
753	mocJDTi9dHsbXl2fb6cc	Maximum Within An Interval	probability	4	Citadel	PAID
754	UGt2rteklEH5QuXG2yLj	Bulb Toggle I	brainteasers	4	Citadel	PAID
755	e4Ts1XIvkuutGcdomW4S	Ten Cars Meet	probability	7	JumpTrading	PAID
756	XOSWJCgtLwkEhMkuiR4A	Perfect Rank Guess	probability	9	Citadel|TwoSigma	PAID
757	OA6wzuNaQtDl4BUzFT5I	Interesting Average III	probability	4		PAID
758	vYh9g2DtVtHy4uTENTEg	Seven Colors II	probability	7		PAID
759	rrWVTWzeAPPMcU8mJOfE	Seven Colors III	probability	8		PAID
760	mQKHehEReBXqccAkd9ow	Maximum Till Now II	probability	5	HudsonRiverTrading	PAID
761	VrTWvMrTOzCsX7K8NcTf	Partial Exponential I	probability	4		PAID
762	Pncv3HfMljJ5IpnIjNRA	Partial Exponential II	probability	4		PAID
763	aXb8Pde0Ncy5eG3SMArf	Signal To Noise Ratio	probability	4		PAID
764	JNOhjkQcbsxKI1U4eE43	Deck Choice I	probability	6	JaneStreet|Citadel	PAID
765	ExZqA2C8HqyV59dOLI8M	Monochromatic Removal	probability	6	JaneStreet	PAID
766	efbtKfrmAjh1U1WsoW1l	Exponential Inequality I	probability	3		PAID
767	waG5BS534vSvZaZC9WWg	Tired Rabbit	probability	5		PAID
768	cJVZQMvei0fqUxMdzPn5	Exponential Inequality II	probability	7		PAID
769	vNaBmA7oYW7Wckwb05s7	Give And Take	probability	7	JaneStreet	PAID
770	kI4tRFkAVmGT3SScr3fE	Maxima Sum I	probability	6		PAID
771	xhZjIKLThN8WnftEGBmW	Maxima Sum II	probability	6		PAID
772	GTu5NI0v1X9qk3aAgDZy	Nearest Diagonal II	probability	4		PAID
773	FhfOahI3dRlS3SRutyTA	Fixed Maximum	probability	6		PAID
774	vZasTJTeEv8uXyx8NujP	It Took Ten Turns	probability	9		PAID
775	0yqfOOTTyiJquafmmz83	Increasing Decreasing II	probability	8		PAID
776	Yz0Utw5SPLJlHDnBP4Ns	Swap Swap	probability	6		PAID
777	JQhNZeMPKjK8qPyhBmJr	Exponential Pentagon	probability	7		PAID
778	cAg2WPS5F8wYQUxHoMlo	Constrained Maximum	probability	6		PAID
779	Qsq3i4yA6rbarAIkhQXr	Strange Product	probability	10		PAID
780	zkLHFNkvXAo3xVI7kBs7	Keep Multiplying	probability	8		PAID
781	kgHpt7RpjnMnwBFsfCKZ	Maximum Exponential	probability	6		PAID
782	oyJ45vCtLitXKNpUetEn	Winner Takes All	probability	7		PAID
783	NO4Hr61wB8Q8oOLaVX1B	Spaced Uniforms I	probability	9		PAID
784	oIQbAWjkHRSq9qINqh6g	Strictly Behind	probability	6		PAID
785	lozCxKy7IuxL7wt8zOV5	Spaced Uniforms II	probability	9		PAID
786	LBY8Duz5ngme2eGPYt1H	Second Last Roll	probability	7	Optiver	PAID
787	TrF9IynQebtJ446r3UvS	All Suits	probability	7		PAID
788	sNvN6UxnGpVioT4Gd5OA	Subset Divisibility	probability	10		PAID
789	W3v1tt7wCfan6kCijeZq	Hit 995	probability	8		PAID
790	r1xjDkVRldRPJPtT6Xfb	Penguin Walk III	probability	4		PAID
791	nPqA2rjHcGOXczR2LVIW	Penguin Walk IV	probability	5		PAID
792	WMsv5zAfcbhqpm7ZoYRp	Uniform Product	probability	7		PAID
793	8veXciOxDZTk1aXvDjuE	Last Uniform	probability	8		PAID
794	YLCTczsffkkhvPQ5JpZC	Consecutive Stocks	brainteasers	10		PAID
795	bQ0uvi4Afe6AnJJzf5GB	Penguin Walk V	probability	4		PAID
796	PT3sXmOFgTs8pTqDbdgL	Penguin Walk VI	probability	4		PAID
797	WhjKfKchPxHUfvTB7O53	Penguin Walk VII	probability	4		PAID
798	WSrSJRATZtdlKfTZBsMq	Penguin Walk VIII	probability	4		PAID
799	5MqesfTnE6hE3tqAHoeB	Row Expectation I	probability	6		PAID
800	nNY0gOoh2k4h5A5LnlWX	Gojo's Six Eyes	probability	8		PAID
801	MhjzKH2jjS4GlpKHRHtO	XY To The Power Z	probability	7		PAID
802	Sl0IWJ19sUSEjb5DeVK8	Penguin Walk IX	probability	5		PAID
803	fcAHMKdW0OcFBdEnBAkQ	Penguin Walk X	probability	5		PAID
804	puU2wFyW9jUq0a6UW1Ul	Ten-Dimensional Ball	probability	6		PAID
805	d07NRCfuhrNpvrBYr7Z2	Row Expectation II	probability	7		PAID
806	njDR5i1jq9c9MViLMsia	Conditional Normal IV	probability	7		PAID
807	ig878injro4NYCErBdj8	Infinite Sum Expectation	probability	8		PAID
808	MmqzZttvzzxcch4l7JA6	Secret Marbles I	probability	7	JaneStreet	PAID
809	FXhAdtX0f68S869YDAqp	Secret Marbles II	probability	7		PAID
810	RylsmNkHoU17PuaQcxO5	Second Last I	probability	9		PAID
811	nTAcD812sRWG8m2S7Z9v	Second Last II	probability	9		PAID
812	9dbLq0p4DYA8hn1Zqk7E	Powerful Scaling	probability	6		PAID
813	KzwqO9BUkwbLV6wx5Aep	One Before Ten	probability	5		PAID
814	CRE9KnrCrMzR4UmmA5fy	Frog Distance I	probability	8		PAID
815	fvRxqK7pYhm3DCXWUREB	Frog Distance II	probability	8		PAID
816	WJcn6RxedwtMs2ZIh2Se	Additional Info Coin Flips II	probability	7		PAID
817	N2bmK2JKiqGBVpd1TQDJ	Power Distance II	probability	6		PAID
818	J6Obeni7Wc1tpfegkNlc	Normal Ratio I	probability	6		PAID
819	D50f6SEGzVjSg2pcONp0	Normal Ratio II	probability	6		PAID
820	YrNBnDg5xGbErefGXlYM	Exponential Ratio	probability	4		PAID
821	GPSqiDv60umPVrxV99nO	Square Intersection II	probability	5		PAID
822	WScucv5ueRXhiYnzCpWt	Increasing Dice Rolls IV	probability	7		PAID
823	ealAU8GHeWsa7Z44zVJA	Hexagon Intersection	probability	6		PAID
824	8Iqpfq6V2MRrz1ATzeW2	Sum Over One II	probability	7		PAID
825	I4e2W4oXWfGbqOaSRJNK	Last Card Survivor	probability	6		PAID
826	pOEQCoeifnG7Bph8FGTw	Triangle Formation IV	probability	6		PAID
827	e8LhpVO4QXk2OJy1Hni9	Random Tree Construction	probability	7		PAID
828	blZjVmCpakMXs0KJ7Pon	Subset Subset	probability	7		PAID
829	plqxSc1KAfO0AfECB8xH	Socks Remaining III	probability	8	JaneStreet	PAID
830	mAmOuCFz0mGox8MzDNRl	Expected Head-Tail Ratio	probability	7		PAID
831	1yMWrC5ga7Roao5kGJHM	Too Many Slips	probability	9		PAID
832	vICZZACE3oQ3BSYKCHct	Gold Rush I	brainteasers	7	JaneStreet	PAID
833	otbt8H3EOxj68Dhe0ayc	Expected Number After Swaps	probability	5		PAID
834	joDBomARTPGr32DrZBRI	Direction Change III	probability	6		PAID
835	1RgTPmQxhVHhu2Z58md3	Submarine Distance	probability	6		PAID
836	ldXdhOULx9f0HYchlSaT	Nearest Paint I	probability	9		PAID
837	4hyO6oMgQctdf461W6Rs	Nearest Paint II	probability	9		PAID
838	ZBtffo2Q4Y8IIELrHPhB	Normal Inequality V	probability	5		PAID
839	DePjOrRMwzmoUqcJXOir	Expected Hits I	probability	6		PAID
840	KCop6iRlDYr5mLE30mMm	Expected Hits II	probability	6		PAID
841	cL5Qet0IbMv2ocRkJgc4	Jumping Frog X	probability	6		PAID
842	1AD1dchCaPy6WbmTsVhH	Elevator II	probability	7		PAID
843	vLx5pzT03CD6LlSK4c4t	Unknown Gunmen I	probability	8		PAID
844	d665UrZjFbSQHTVeSRfk	Random And Rational	probability	6	JaneStreet	PAID
845	T2OfgsgCQO7gwetj8MIQ	Line Switch	probability	2	JaneStreet	PAID
846	eNA4KyRJUywy2vaH9GcR	Unknown Gunmen II	probability	8		PAID
847	eZbQzcMEXQsFavkzmNhE	Match Fixing I	probability	6	JaneStreet	PAID
848	VVWO9dNnccu3205SidIF	Unknown Gunmen III	probability	10		PAID
849	VmcSHr6cF76e7OurFJfi	Extra Information I	probability	7	Citadel	PAID
850	O60wkeUH8tyVJ5Ym7Yae	Close To One	probability	9		PAID
851	LGJTgjQLBGqjp0ll70eZ	Partial Visit	probability	4		PAID
852	oX2xHgkYEVqGzsdmMivI	Middle Ground I	probability	9		PAID
853	kh5z97aArwDeqCFEElP6	Visited Nodes I	probability	4		PAID
854	II3WRKXQ5NTBMsnwOfdQ	Visited Nodes II	probability	7		PAID
855	7nWbGEA50guBs2BrPiXM	Direction Changes In Random Walk	probability	7		PAID
856	n042T63evjlFhSNLlzGL	Median Guess	probability	6		PAID
857	gcJLrJER7vvTs3e7o6gy	Extra Information II	probability	9	Citadel	PAID
858	X2ZncB1Qp3CmTxksqgQ3	Competitive Cutoff	probability	9		PAID
859	9lVOFW9umkNBhB0SHzGP	Polya Urn Process	probability	10		PAID
860	5NJY4BdkF7fBTrSKoM4H	Gold Rush II	probability	7	JaneStreet	PAID
861	PiriWAZe51qrb9UjuRuH	Less Than Square I	probability	4	IMCTrading	PAID
862	LxxLBf3a1f7pDu9O25os	Less Than Square II	probability	4	IMCTrading	PAID
863	BayBWzqJn8TomCXMoG2R	Circular Frog II	probability	8		PAID
864	eKtjn3Vgy9d1ZoYu0t7q	Circular Frog III	probability	8		PAID
865	NzhPuaUVmUW3seEMW8iL	Capture The Flag II	probability	8		PAID
866	aG9MhYwM9OcT77zpZJoM	Extra Information III	probability	7		PAID
867	S4cG3YfD8rikN7GyhOCA	Match Fixing II	probability	6		PAID
868	v8zg17NwuuTL0AVj317u	Middle Ground II	probability	6		PAID
869	rPw4anIlQklKBwwnGcn8	Dice Equilibrium	probability	5		PAID
870	Ab0ntchWctEneezpbHe6	Stock Mean	probability	2	Citadel	PAID
871	9EPPyGjwz1iXwAwuPqKQ	Stock Variance	probability	5	Citadel	PAID
872	yCRPuxsMawb4ZgR5co3f	Dice Game IX	probability	6	JaneStreet	PAID
873	ys1l3OUPRSaoYyKwZWpS	Encoding Bits	brainteasers	6	JaneStreet	PAID
874	i3gbHyvw7MXx9LXEh3N8	Triangle Formation V	probability	5	Citadel	PAID
875	WA5G8jatn9sBQHuiOkRT	Consecutive Envelopes II	probability	8	JaneStreet	PAID
876	Z8m8iyoQDsQwp6IgAGlQ	Are You The Tallest?	probability	3	Citadel	PAID
877	goW07pSbtNnapIh6YJCF	Monotonic Solutions	combinatorics	6	JumpTrading	PAID
878	TgVrzH8InJhWJ954dCXR	Check Or Raise	probability	6	Citadel	PAID
879	hCsvbwVkZyt1fRP8fGqV	Strange Special Case	probability	7	JumpTrading	PAID
880	QMgi0iOr1Ul5lM0zVSFW	Dice Multiple III	probability	6	HudsonRiverTrading|SusquehannaInternationalGroup	PAID
881	PgJUrmdujUa2h9yzLcNg	Probabilistic Strategy IV	probability	9	HudsonRiverTrading	PAID
882	TcF3my95cAAslPoqErYL	Odd Heads IV	probability	5	HudsonRiverTrading	PAID
883	CyC0kAKgMpCrjkLsPoos	Coin Toss Game VIII	probability	6	Citadel	PAID
884	FgKDSBgaDWpTzETmH2Uu	Strange Minimizer I	brainteasers	6	Citadel	PAID
885	9DHdT5kRkSbWiLI7bhAE	Strange Minimizer II	brainteasers	6	Citadel	PAID
886	5kOU33UOgFNZmvQEUay6	Basketball Practice	brainteasers	6	HudsonRiverTrading	PAID
887	t5w6tDTnplJ0R4D8AO9D	Simple Game II	probability	9		PAID
888	WqKkNoXpMlC2Q9Isee9G	Create Empty Pile	brainteasers	6	Optiver	PAID
889	tVAqIRmHt8NqeJJsPWTp	Simple Game III	probability	9		PAID
890	0o34GqrFR3h3PTmVLmk3	Discrete Choices	probability	5	JaneStreet	PAID
891	ykpfIE5lTHL3MKeCkSKW	Partial Reveal I	probability	5		PAID
892	9oWr8WQvJgnu9zXz73y3	Partial Reveal II	probability	6		PAID
893	FkJEeeDapvyLlNW5os0D	Probabilistic Strategy V	probability	9		PAID
894	S6UwM8tdoxonKDnBRAR5	Choose Your Suit	probability	5	JaneStreet	PAID
895	8RrfMbc7BoHAXs7Tznb3	Optimal Order	probability	7		PAID
896	c6pORdQohmgMknywzAu9	Deck Choice II	probability	6	JaneStreet	PAID
897	7VJng7NtShFkoRvVlW0P	Probabilistic Strategy VI	probability	6		PAID
898	4F6cGPCgIZub6ZsOE5sv	Win By Small Margin	brainteasers	8		PAID
899	68XGhVqix7cEHMNOxzEo	Final Number Possibilities II	brainteasers	6	Graviton	PAID
900	w6khlIrKe5IN6hExxtWN	Noodle Loop II	probability	6	HudsonRiverTrading	PAID
901	0EtZh2UILT2LtZfy0w1y	Noodle Loop III	probability	6	Graviton	PAID
902	cTS31tSGh0jnBuZfgN37	Noodle Loop IV	probability	6		PAID
903	H8R2Eto8uJRc1npIch0U	Expected Directed Cycles	probability	6		PAID
904	M1uxSNgYHaQj0zTeNmTE	Expected Connected Components	probability	8		PAID
905	5495IeJUrVIIjAy66uDr	Expected Card Piles	probability	6		PAID
906	fy7B4JTXLGtOG6J31yyU	Keys And Chests I	probability	9		PAID
907	yrWTx3lQux1V77oHLZci	Keys And Chests II	probability	9		PAID
908	grBkekkqfZuSzmIcnA2R	Five Cards, Four Slots	probability	9	JumpTrading	PAID
909	QGExRqPLgKiQw9dXQUBi	Permutation Cycles I	probability	6	Graviton	PAID
910	mFiTHHHwmR3xXvgQwDPt	Permutation Cycles II	probability	6	Graviton|IMCTrading	PAID
911	3t60FTbiy2ne99HU5sgE	Largest Envelope I	probability	3	JaneStreet	PAID
912	2N2x0IC5dzvD4FYJNF2T	Largest Envelope II	probability	5	JaneStreet	PAID
913	Xv9pTt7McbEzu1vsXqOz	Pair Partition II	probability	8		PAID
914	BfNJsyFxJ6PfhU6SOHkd	Dice Placement I	probability	6	JaneStreet	PAID
915	wS9h1vzojYDLAIzPR6kW	Maximising Heads III	probability	6	Citadel	PAID
916	ocAVTPaITfa9cjgVVAbx	Slot Balancing	probability	7	JaneStreet	PAID
917	5AZq5xFc994nUjj63h7s	Card Prediction II	probability	6	JaneStreet	PAID
918	3bMvQvk2hWCnkbNWBezN	Coin With Unknown Bias	probability	5		PAID
919	OZ97nCyhrsZ5HyOC261C	Repeated Card Guess	probability	6		PAID
920	kmhdhLGiILZSn1S9IdOC	Dice Game X	probability	7		PAID
921	X3jGN4J7cVTHRmnLoxQp	Dice Game XI	probability	7	JaneStreet	PAID
922	cqdiR5cQ6MlFj5OUozRW	Increasing Cards Selection	probability	8		PAID
923	cCYUWPjOzRaIhRlLdRz2	Continuous Knapsack	probability	8		PAID
924	p3sHUyPjBatw6SEvWEc5	Interview V	probability	9	Citadel	PAID
925	l1iWiGI5UNCX3NUVXHso	Interview VI	probability	9		PAID
926	J0KAHYKOmDdmWkpLtmgU	Last Roll	probability	4		PAID
927	txCwl66AMz1wbUHNcbgy	Circular Pairing	probability	8		PAID
928	E1Mu1w39Rv4146pZFnxG	Determinant Variance	probability	7		PAID
929	CcsZQKRmXUJ3injvLXDG	Rational Number	brainteasers	5	JaneStreet	PAID
930	cMSzsYh6RbnuM4z9H66y	Most Likely Terminal Sum	probability	5	JaneStreet	PAID
931	HuVxxQTYc1edgQruDU5f	Double Option	probability	4	JaneStreet	PAID
932	ehHZsTaLcziw4l6lqVA1	Circular Bulbs	probability	6		PAID
